,bucket,cpu,gcl,population,time
0,9650,257.86020099999996,10443.834761764854,12,
1,9411,4.980956,10451.834761764854,12,
2,9425,34.455956,10459.834761764854,12,
3,9409,15.86156,10467.834761764854,12,
4,9412,5.788264,10475.834761764854,12,
5,9425,5.11059,10482.834761764854,12,
6,9439,4.479541,10489.834761764854,12,
7,9453,4.357201,10496.834761764854,12,
8,9468,5.245336,10503.834761764854,12,
9,9482,4.527207,10505.834761764854,12,
10,9496,5.381672,10507.834761764854,12,
11,9510,14.681137,10509.834761764854,12,
12,9514,11.818284,10511.834761764854,12,
13,9521,5.599425999999999,10513.834761764854,12,
14,9516,5.3209979999999995,10515.834761764854,12,
15,9530,4.7954,10517.834761764854,12,
16,9544,5.315269,10519.834761764854,12,
17,9558,7.747189,10521.834761764854,12,
18,9569,26.713545,10523.834761764854,12,
19,9561,13.487841,10525.834761764854,12,
20,9566,4.77858,10527.834761764854,12,
21,9580,4.830983,10530.834761764854,12,
22,9594,5.500718,10532.834761764854,12,
23,9607,5.027634,10534.834761764854,12,
24,9621,14.02214,10536.834761764854,12,
25,9626,4.705514,10538.834761764854,12,
26,9640,5.153994,10540.834761764854,12,
27,9654,12.795612,10542.834761764854,12,
28,9660,5.17242,10544.834761764854,12,
29,9674,4.942147,10555.834761764854,12,
30,9688,5.536089,10566.834761764854,12,
31,9701,6.063214,10568.834761764854,12,
32,9706,7.461713,10579.834761764854,12,
33,9717,4.802451,10590.834761764854,12,
34,9731,13.240882,10603.834761764854,12,
35,9737,17.996606,10616.834761764854,12,
36,9738,5.5818200000000004,10632.834761764854,12,
37,9751,5.117171,10648.834761764854,12,
38,9760,4.366828999999999,10664.834761764854,12,
39,9775,4.869568,10680.834761764854,12,
40,9789,5.312979,10696.834761764854,12,
41,9803,5.763508,10709.834761764854,12,
42,9816,5.761797,10722.834761764854,12,
43,9829,9.441292,10735.834761764854,12,
44,9838,5.06329,10748.834761764854,12,
45,9852,5.131442,10761.834761764854,12,
46,9866,4.993938999999999,10774.834761764854,12,
47,9880,5.3998170000000005,10787.834761764854,12,
48,9894,5.10368,10800.834761764854,12,
49,9908,5.356567999999999,10813.834761764854,12,
50,9922,15.726111,10826.834761764854,12,
51,9925,13.273476,10833.834761764854,12,
52,9931,5.488238,10838.834761764854,12,
53,9944,4.289686,10843.834761764854,12,
54,9959,5.809568,10848.834761764854,12,
55,9972,6.549643,10853.834761764854,12,
56,9984,5.133115999999999,10858.834761764854,12,
57,9998,4.497857,10871.834761764854,12,
58,10000,4.916513,10884.834761764854,12,
59,10000,9.043409,10897.834761764854,12,
60,10000,5.584906,10901.834761764854,12,
61,10000,5.286422999999999,10905.834761764854,12,
62,10000,4.765546,10909.834761764854,12,
63,10000,4.340369,10913.834761764854,12,
64,10000,5.933982,10917.834761764854,12,
65,10000,5.474472,10921.834761764854,12,
66,10000,15.555696999999999,10925.834761764854,12,
67,10000,12.974302,10929.834761764854,12,
68,10000,5.496307,10933.834761764854,12,
69,10000,5.3009059999999995,10937.834761764854,12,
70,10000,10.288048999999999,10941.834761764854,12,
71,10000,4.941834,10947.834761764854,12,
72,10000,5.54871,10953.834761764854,12,
73,10000,4.4719619999999995,10959.834761764854,12,
74,10000,4.562603999999999,10965.834761764854,12,
75,10000,8.050822,10971.834761764854,12,
76,10000,20.284156,10977.834761764854,12,
77,9999,5.233535,10984.834761764854,12,
78,10000,4.755735,10991.834761764854,12,
79,10000,4.758693,10997.834761764854,12,
80,10000,4.78008,11003.834761764854,12,
81,10000,4.196192,11009.834761764854,11,
82,10000,12.276743999999999,11015.834761764854,11,
83,10000,63.076494,11021.834761764854,12,
84,10956,242.935825,11028.834761764854,12,
85,10000,270.647993,11034.834761764854,12,
86,9748,5.990353,11037.834761764854,12,
87,9761,5.21158,11040.834761764854,12,
88,9775,245.14697999999999,11044.834761764854,12,
89,9549,246.315746,11048.834761764854,12,
90,9321,5.675799,11052.834761764854,12,
91,9334,15.847325000000001,11056.834761764854,12,
92,9337,4.506626,11060.834761764854,12,
93,9351,5.184055,11064.834761764854,12,
94,9365,4.713297,11067.834761764854,12,
95,9379,5.126699,11070.834761764854,12,
96,9393,6.064498,11073.834761764854,12,
97,9406,5.545173999999999,11076.834761764854,12,
98,9419,63.785687,11079.834761764854,12,
99,9374,31.565157,11082.834761764854,12,
100,9361,5.918265,11085.834761764854,12,
101,9374,5.964071,11089.834761764854,12,
102,9387,4.650948,11091.834761764854,12,
103,9401,5.7476519999999995,11092.834761764854,12,
104,9414,8.818446,11093.834761764854,12,
105,9424,5.4879,11094.834761764854,12,
106,9437,4.764196,11095.834761764854,12,
107,9451,17.219778,11096.834761764854,12,
108,9453,8.189829,11097.834761764854,12,
109,9464,9.791554999999999,11098.834761764854,12,
110,9473,6.053687,11099.834761764854,12,
111,9486,15.682236,11100.834761764854,12,
112,9489,5.725222,11101.834761764854,12,
113,9502,7.858943,11102.834761764854,12,
114,9513,37.411421,11105.834761764854,12,
115,9495,23.055119,11109.834761764854,12,
116,9491,5.063384999999999,11113.834761764854,12,
117,9505,4.643745,11117.834761764854,12,
118,9519,4.70111,11121.834761764854,12,
119,9533,5.660685,11125.834761764854,12,
120,9546,6.28892,11129.834761764854,12,
121,9559,5.078709,11133.834761764854,11,
122,9573,5.11204,11137.834761764854,11,
123,9587,10.88728,11141.834761764854,11,
124,9595,6.495897,11145.834761764854,11,
125,9607,4.995323,11149.834761764854,11,
126,9611,25.102839,11153.834761764854,11,
127,9605,4.695939,11157.834761764854,11,
128,9619,7.248233,11161.834761764854,11,
129,9631,4.593565,11166.834761764854,11,
130,9645,20.999258,11171.834761764854,11,
131,9643,97.17415799999999,11176.834761764854,11,
132,9565,5.00224,11181.834761764854,11,
133,9579,4.654921,11186.834761764854,11,
134,9593,4.062664,11190.834761764854,11,
135,9608,5.193506999999999,11194.834761764854,11,
136,9622,4.424723,11198.834761764854,11,
137,9636,4.607078,11202.834761764854,11,
138,9650,4.333244,11206.834761764854,11,
139,9664,17.811474,11210.834761764854,11,
140,9665,23.309982,11214.834761764854,11,
141,9661,9.110487,11219.834761764854,11,
142,9671,3.730547,11224.834761764854,11,
143,9686,4.981158,11229.834761764854,11,
144,9700,5.075334,11234.834761764854,11,
145,9714,6.79519,11239.834761764854,11,
146,9726,9.428206,11244.834761764854,11,
147,9735,12.065598,11249.834761764854,11,
148,9742,24.566049,11254.834761764854,11,
149,9736,4.150215,11259.834761764854,11,
150,9751,4.037278,11264.834761764854,11,
151,9766,4.8670919999999995,11269.834761764854,11,
152,9780,4.5172349999999994,11274.834761764854,11,
153,9794,5.324166999999999,11281.834761764854,11,
154,9808,4.179413,11285.834761764854,10,
155,9823,9.265758,11289.834761764854,10,
156,9833,4.803355,11293.834761764854,10,
157,9847,4.414856,11297.834761764854,10,
158,9861,4.364478,11301.834761764854,10,
159,9876,4.850811,11305.834761764854,10,
160,9890,4.478374,11309.834761764854,10,
161,9904,5.015627,11313.834761764854,10,
162,9918,42.912862,11317.834761764854,10,
163,9894,23.785022,11321.834761764854,11,
164,9889,19.027896,11325.834761764854,11,
165,9889,4.895045,11326.834761764854,11,
166,9903,3.871257,11327.834761764854,11,
167,9918,21.596427,11328.834761764854,11,
168,9915,5.572247,11330.834761764854,11,
169,9928,4.302837,11339.834761764854,11,
170,9943,3.712581,11340.834761764854,11,
171,9958,12.116667999999999,11341.834761764854,11,
172,9965,8.926841,11342.834761764854,11,
173,9975,6.902680999999999,11343.834761764854,11,
174,9987,4.280253999999999,11344.834761764854,11,
175,10000,5.508216,11345.834761764854,11,
176,10000,4.967181,11346.834761764854,11,
177,10000,4.720981999999999,11347.834761764854,11,
178,10000,9.853750000000002,11348.834761764854,11,
179,10000,42.071841,11349.834761764854,11,
180,9977,6.209168,11350.834761764854,11,
181,9989,5.490437999999999,11351.834761764854,11,
182,10000,3.789262,11352.834761764854,11,
183,10000,4.566006,11361.834761764854,11,
184,11000,234.873593,11371.834761764854,11,
185,10000,260.91232,11381.834761764854,11,
186,9758,4.461463,11391.834761764854,11,
187,9772,9.644027,11401.834761764854,11,
188,9781,4.844092,11411.834761764854,11,
189,9795,5.7786669999999996,11421.834761764854,11,
190,9808,237.065175,11434.834761764854,11,
191,9590,9.683712,11446.834761764854,11,
192,9599,5.236338,11458.834761764854,11,
193,9613,4.851535,11470.834761764854,11,
194,9627,49.725832,11482.834761764854,10,
195,9596,30.996325,11493.834761764854,10,
196,9584,7.223246,11505.834761764854,10,
197,9596,13.537895,11517.834761764854,10,
198,9601,4.126888,11529.834761764854,10,
199,9616,4.196023,11541.834761764854,10,
200,9631,263.16338199999996,11553.834761764854,10,
201,9387,3.83912,11565.834761764854,10,
202,9402,3.998425,11569.834761764854,10,
203,9417,9.902355,11581.834761764854,10,
204,9426,4.023414,11593.834761764854,10,
205,9441,4.622529,11605.834761764854,10,
206,9455,7.612570999999999,11609.834761764854,10,
207,9466,15.566253,11623.834761764854,10,
208,9469,4.26713,11637.834761764854,10,
209,9484,3.673437,11651.834761764854,10,
210,9499,19.23763,11665.834761764854,9,
211,9499,66.768938,11678.834761764854,9,
212,9451,3.830076,11691.834761764854,9,
213,9466,6.44079,11704.834761764854,9,
214,9478,3.5354089999999996,11717.834761764854,9,
215,9493,14.928456,11729.834761764854,9,
216,9497,7.568595999999999,11733.834761764854,9,
217,9508,4.435738,11745.834761764854,9,
218,9522,4.088852,11757.834761764854,9,
219,9537,7.954632,11768.834761764854,9,
220,9548,4.201656,11779.834761764854,9,
221,9563,7.029916999999999,11790.834761764854,9,
222,9575,4.531534,11801.834761764854,9,
223,9589,3.552528,11812.834761764854,9,
224,9604,4.795726999999999,11823.834761764854,9,
225,9618,4.616745,11834.834761764854,9,
226,9632,11.476059,11845.834761764854,9,
227,9639,13.527277,11856.834761764854,9,
228,9644,3.4442079999999997,11867.834761764854,9,
229,9660,4.18044,11878.834761764854,9,
230,9675,4.305534,11889.834761764854,9,
231,9690,4.04985,11900.834761764854,9,
232,9705,3.642568,11911.834761764854,9,
233,9720,5.146366,11922.834761764854,9,
234,9734,4.0937909999999995,11930.834761764854,9,
235,9749,7.11921,11933.834761764854,9,
236,9761,3.5596759999999996,11936.834761764854,9,
237,9776,4.363039,11939.834761764854,9,
238,9791,4.205176,11942.834761764854,9,
239,9806,4.125216,11945.834761764854,9,
240,9821,4.164073,11945.834761764854,9,
241,9836,3.986702,11945.834761764854,9,
242,9851,10.18172,11945.834761764854,9,
243,9860,16.864531,11945.834761764854,9,
244,9862,3.880993,11945.834761764854,9,
245,9877,4.074891,11945.834761764854,9,
246,9892,19.736811,11945.834761764854,9,
247,9891,9.461615,11945.834761764854,9,
248,9900,3.776756,11945.834761764854,9,
249,9915,4.300225,11945.834761764854,9,
250,9930,4.2173039999999995,11945.834761764854,9,
251,9945,7.893103,11953.834761764854,9,
252,9956,4.488083,11961.834761764854,9,
253,9970,3.923856,11969.834761764854,9,
254,9985,4.0247209999999995,11969.834761764854,9,
255,10000,9.758941,11969.834761764854,9,
256,10000,3.8673,11969.834761764854,9,
257,10000,4.460063,11969.834761764854,9,
258,10000,12.017940000000001,11970.834761764854,9,
259,10000,25.461288,11981.834761764854,9,
260,9993,3.601914,11992.834761764854,9,
261,10000,3.72121,12003.834761764854,9,
262,10000,5.643680999999999,12014.834761764854,9,
263,10000,4.579401,12025.834761764854,9,
264,10000,4.12279,12036.834761764854,9,
265,10000,4.272608,12042.834761764854,9,
266,10000,3.709735,12048.834761764854,9,
267,10000,19.956677000000003,12054.834761764854,10,
268,9999,3.554747,12060.834761764854,10,
269,10000,5.448052000000001,12066.834761764854,10,
270,10000,4.762575999999999,12072.834761764854,10,
271,10000,3.8295969999999997,12075.834761764854,10,
272,10000,4.122574,12078.834761764854,10,
273,10000,3.537011,12081.834761764854,10,
274,10000,13.043361,12084.834761764854,10,
275,10000,12.690124,12087.834761764854,10,
276,10000,3.4616740000000004,12098.834761764854,10,
277,10000,5.079082,12109.834761764854,10,
278,10000,4.287817,12120.834761764854,10,
279,10000,6.0042480000000005,12131.834761764854,10,
280,10000,4.407335,12142.834761764854,10,
281,10000,3.862243,12153.834761764854,10,
282,10000,5.166679,12164.834761764854,10,
283,10000,8.230956,12175.834761764854,11,
284,11000,242.359656,12186.834761764854,11,
285,10000,238.68795400000002,12197.834761764854,11,
286,9780,262.971921,12208.834761764854,11,
287,9536,243.782415,12219.834761764854,11,
288,9311,4.53357,12230.834761764854,11,
289,9325,4.666626,12241.834761764854,11,
290,9339,13.396687,12252.834761764854,11,
291,9345,42.63016,12263.834761764854,11,
292,9321,7.9573730000000005,12274.834761764854,11,
293,9332,14.497721,12285.834761764854,11,
294,9336,4.827535,12296.834761764854,11,
